geoid,name,lat,lon,recovery_gap_h,relief_h,svi,population,built_share,veg_share,bare_share,classified,usable,built,vegetation,bare,water,transient,unclassified,unmapped
04013106200,1062,33.545781,-112.073833,2.8888,3.111,0.0779,3410.0,0.4217,0.5568,0.0216,0.9828,True,0.4144,0.5472,0.0212,0.0,0.0,0.0172,
04013104206,1042.06,33.574713,-112.145829,2.9888,3.011,0.6859,3711.0,0.4862,0.017,0.4967,0.9987,True,0.4856,0.017,0.4961,0.0,0.0,0.0013,
04013104205,1042.05,33.574802,-112.128486,3.0499,2.95,0.8493,6257.0,0.6337,0.2712,0.0951,0.9827,True,0.6227,0.2665,0.0935,0.0,0.0,0.0174,
04013105400,1054,33.560344,-112.091104,3.2939,2.706,0.3152,3677.0,0.3852,0.5065,0.1083,0.9805,True,0.3777,0.4966,0.1062,0.0,0.0,0.0195,
04013105601,1056.01,33.561076,-112.121251,3.3048,2.695,0.6351,4061.0,0.885,0.0145,0.1006,0.9962,True,0.8816,0.0144,0.1002,0.0,0.0,0.0039,
04013104501,1045.01,33.571391,-112.091074,3.6767,2.323,0.9885,4070.0,0.9797,0.0056,0.0147,0.9959,True,0.9757,0.0056,0.0146,0.0,0.0,0.0042,
04013106702,1067.02,33.534805,-112.086782,3.7358,2.264,0.5982,1290.0,0.4895,0.3031,0.2074,0.9767,True,0.4781,0.296,0.2026,0.0,0.0,0.0233,
04013107403,1074.03,33.515155,-112.095502,3.8728,2.127,0.8909,2200.0,0.61,0.1927,0.1973,0.8007,True,0.4884,0.1543,0.158,0.0,0.0,0.1993,
04013106001,1060.01,33.545886,-112.114594,3.9838,2.016,0.9682,1856.0,0.5944,0.3996,0.006,0.9962,True,0.5921,0.3981,0.006,0.0,0.0,0.0039,
04013107202,1072.02,33.520361,-112.125585,3.997,2.003,0.7691,5019.0,0.8862,0.0622,0.0516,0.7961,True,0.7055,0.0495,0.0411,0.0,0.0141,0.1898,
04013105800,1058,33.545764,-112.142927,3.9981,2.002,0.5352,6273.0,0.904,0.0788,0.0172,0.9728,True,0.8794,0.0767,0.0167,0.0,0.0,0.0273,
04013107001,1070.01,33.531571,-112.147228,4.0048,1.995,0.8233,4621.0,0.9827,0.0173,0.0,0.9951,True,0.9779,0.0172,0.0,0.0,0.0,0.0049,
04013107201,1072.01,33.513135,-112.12559,4.0065,1.994,0.9163,3129.0,0.5949,0.3835,0.0216,0.9985,True,0.594,0.3829,0.0216,0.0,0.0,0.0015,
04013107300,1073,33.516827,-112.108357,4.0084,1.992,0.9059,6830.0,0.9743,0.0257,0.0,0.9679,True,0.943,0.0249,0.0,0.0,0.0,0.0321,
04013106802,1068.02,33.531354,-112.105924,4.0218,1.978,0.9134,3315.0,0.646,0.2337,0.1203,0.9899,True,0.6395,0.2313,0.1191,0.0,0.0,0.0101,
04013112601,1126.01,33.463878,-112.143169,4.0495,1.951,0.955,3507.0,0.9503,0.0497,0.0,0.9977,True,0.9481,0.0496,0.0,0.0,0.0,0.0023,
04013106003,1060.03,33.542364,-112.105911,4.0599,1.94,0.9538,4037.0,0.9673,0.0327,0.0,0.8906,True,0.8615,0.0291,0.0,0.0,0.0,0.1095,
04013117300,1173,33.42193,-112.117129,4.0935,1.907,0.9988,2173.0,0.3384,0.0131,0.6485,0.9999,True,0.3384,0.0131,0.6484,0.0,0.0,0.0001,
