FIPS,LOCATION,E_TOTPOP,E_AGE65,EP_AGE65,EP_POV150,EP_NOVEH,EP_DISABL,EP_UNINSUR,EP_MOBILE,EP_MUNIT,EP_AGE17,RPL_THEMES
04013104205,Census Tract 1042.05; Maricopa County; Arizona,6257,1045,16.7,28.0,22.9,24.9,16.6,0.0,54.4,17.4,0.8493
04013104206,Census Tract 1042.06; Maricopa County; Arizona,3711,521,14.0,20.9,2.3,19.0,10.9,0.6,2.1,19.7,0.6859
04013104402,Census Tract 1044.02; Maricopa County; Arizona,2474,491,19.8,16.1,14.5,16.4,9.3,24.8,51.8,18.0,0.7714
04013104501,Census Tract 1045.01; Maricopa County; Arizona,4070,310,7.6,49.2,16.3,15.8,22.8,9.0,31.9,27.6,0.9885
04013104600,Census Tract 1046; Maricopa County; Arizona,3956,586,14.8,35.1,8.5,16.3,11.9,0.0,39.5,14.3,0.8274
04013104701,Census Tract 1047.01; Maricopa County; Arizona,2944,376,12.8,25.7,10.4,11.9,13.3,2.0,30.0,14.0,0.8025
04013104702,Census Tract 1047.02; Maricopa County; Arizona,3778,581,15.4,39.3,16.7,20.9,22.7,14.3,11.3,18.0,0.9469
04013104801,Census Tract 1048.01; Maricopa County; Arizona,3904,724,18.5,8.8,2.1,5.7,3.0,0.0,3.7,17.4,0.1137
04013105101,Census Tract 1051.01; Maricopa County; Arizona,4299,877,20.4,4.6,0.6,8.2,3.0,0.0,2.1,21.5,0.0312
04013105102,Census Tract 1051.02; Maricopa County; Arizona,4687,1134,24.2,8.4,4.4,9.0,0.5,0.0,20.6,11.9,0.052
04013105103,Census Tract 1051.03; Maricopa County; Arizona,2969,1049,35.3,5.0,0.0,7.8,10.0,0.7,0.0,18.2,0.0497
04013105200,Census Tract 1052; Maricopa County; Arizona,6259,1300,20.8,16.2,3.5,9.3,8.2,2.5,25.4,16.6,0.5572
04013105300,Census Tract 1053; Maricopa County; Arizona,4868,1004,20.6,18.0,10.1,16.2,18.2,0.0,17.9,18.3,0.6403
04013105400,Census Tract 1054; Maricopa County; Arizona,3677,931,25.3,5.5,4.9,13.1,5.6,0.0,14.0,20.4,0.3152
04013105501,Census Tract 1055.01; Maricopa County; Arizona,2303,100,4.3,28.9,10.5,15.4,15.0,0.0,51.8,23.1,0.7223
04013105502,Census Tract 1055.02; Maricopa County; Arizona,1865,111,6.0,41.4,20.5,17.6,12.8,0.0,72.2,25.0,0.9244
04013105503,Census Tract 1055.03; Maricopa County; Arizona,4125,223,5.4,38.5,26.5,12.4,18.8,0.0,68.6,14.8,0.7379
04013105601,Census Tract 1056.01; Maricopa County; Arizona,4061,326,8.0,23.8,5.9,18.4,21.1,0.0,0.0,26.8,0.6351
04013105602,Census Tract 1056.02; Maricopa County; Arizona,6399,321,5.0,40.2,9.4,16.5,14.4,0.0,24.0,30.2,0.8464
04013105701,Census Tract 1057.01; Maricopa County; Arizona,3494,492,14.1,26.7,7.4,17.5,7.2,0.0,10.0,29.5,0.81
04013105702,Census Tract 1057.02; Maricopa County; Arizona,4287,381,8.9,28.3,9.0,16.9,18.6,1.9,17.2,27.6,0.8291
04013105800,Census Tract 1058; Maricopa County; Arizona,6273,872,13.9,10.7,2.2,9.5,12.5,0.5,0.0,23.5,0.5352
04013105900,Census Tract 1059; Maricopa County; Arizona,5360,949,17.7,23.8,23.3,13.4,12.2,1.1,25.2,22.5,0.9197
